,track_name,album,artist_name,release_date,duration_ms,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
187,My Head & My Heart,Heaven & Hell,Ava Max,2020-09-18,174760,78,0.614,0.0697,0.934,0.0,0.121,-3.709,0.07,116.001,0.436
188,You Get What You Give,Maybe You've Been Brainwashed Too,New Radicals,1998-01-01,300773,78,0.621,0.17,0.901,0.0,0.0875,-5.396,0.0302,113.967,0.744
189,Perfect Strangers,Blue,Jonas Blue,2018-11-09,196613,78,0.73,0.39,0.861,0.0,0.213,-4.1,0.0451,117.965,0.704
190,Marry You,Doo-Wops & Hooligans,Bruno Mars,2010-10-05,230192,78,0.621,0.332,0.82,0.0,0.104,-4.865,0.0367,144.905,0.452
191,All That She Wants,The Sign,Ace of Base,1993-12-24,211213,78,0.798,0.00547,0.625,7.98e-05,0.103,-9.689,0.0548,93.764,0.858
192,You & I,Midnight Memories (Deluxe),One Direction,2013-11-25,237933,78,0.574,0.22,0.329,0.0,0.0986,-6.829,0.0274,130.993,0.356
193,Slow Hands,Flicker (Deluxe),Niall Horan,2017-10-20,188174,78,0.735,0.011,0.425,0.0,0.055,-6.648,0.0464,85.896,0.848
194,Pompeii,All This Bad Blood,Bastille,2013-01-01,214147,78,0.679,0.0755,0.715,0.0,0.271,-6.383,0.0407,127.435,0.571
195,Blurred Lines,Blurred Lines (Deluxe),Robin Thicke,2013-01-01,263826,78,0.853,0.00334,0.599,7.93e-06,0.0759,-4.756,0.0411,119.993,0.843
196,Stitches,Handwritten,Shawn Mendes,2015-04-14,206880,78,0.752,0.0151,0.754,0.0,0.0486,-6.684,0.0615,149.789,0.755
197,Higher Love,Higher Love,Kygo,2019-06-28,228267,78,0.693,0.0151,0.678,5.71e-06,0.101,-7.159,0.0324,103.952,0.404
198,Wherever You Will Go,Camino Palmero,The Calling,2001,208600,78,0.558,0.0367,0.719,0.0,0.115,-5.113,0.0267,112.027,0.371
199,Bleeding Love,Spirit,Leona Lewis,2007,262466,78,0.638,0.188,0.656,0.0,0.146,-5.886,0.0357,104.036,0.225
