,track_name,album,artist_name,release_date,duration_ms,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
129,Lopsy Lu,Stanley Clarke,Stanley Clarke,1974,424360,29,0.44,0.00457,0.625,0.795,0.052,-11.273,0.048,125.746,0.809
130,Seven Days of Night,Seven Days of Night,Barbara Acklin,1969-01-01,165466,8,0.495,0.0992,0.622,0.019,0.0492,-11.785,0.0564,185.535,0.869
131,1609km,compciter ep,altrice,2022-08-31,280853,21,0.644,0.235,0.981,0.47,0.421,-4.847,0.0953,123.744,0.689
132,Pax,Pax,Chloé Robinson,2022-08-31,305014,15,0.781,5.02e-05,0.895,0.902,0.0785,-7.553,0.0545,134.011,0.246
133,Eternal September,Eternal September,A+A,2022-09-06,333853,33,0.756,0.172,0.787,0.889,0.113,-8.658,0.051,132.999,0.722
134,Anvil,Primitive,Dan Gold,2021-12-03,252000,5,0.78,0.00496,0.87,0.94,0.108,-8.304,0.0407,139.999,0.716
135,Looking at Your Pager - Solomun Remix,Looking At Your Pager (Solomun Remix),KH,2022-09-02,268355,39,0.837,0.0364,0.794,0.65,0.103,-7.673,0.103,133.015,0.443
136,Watersynth,Mango Feedback,Four Tet,2022-08-10,260612,33,0.465,0.951,0.323,0.935,0.112,-22.578,0.0365,119.732,0.585
137,"Leapday Night, Scene 1",Leapday Night,David Behrman,1991-03-01,390800,27,0.174,0.903,0.148,0.0314,0.259,-16.963,0.039,118.617,0.0379
138,BOR----H (Opus 23E),Five Pieces (1975),Anthony Braxton,1975-03-01,203680,14,0.492,0.735,0.651,0.606,0.09,-10.763,0.0569,110.562,0.757
139,Ether,Sweet Touch Of Love,Allen Toussaint,2005,172560,40,0.708,0.771,0.523,0.903,0.156,-14.859,0.0486,87.046,0.78
140,()vȯ)) ̷̨ʅ(۝ʅ(Ɵʅ():::()̵̳̗̊(Ɵʅ()vȯ)) ̷̨ʅ,()vȯ)) ̷̨ʅ(۝ʅ(Ɵʅ():::()̵̳̗̊(Ɵʅ()vȯ)) ̷̨ʅ,⣎⡇ꉺლ༽இ•̛)ྀ◞ ༎ຶ ༽ৣৢ؞ৢ؞ؖ ꉺლ,2022-08-19,271642,48,0.852,0.0127,0.93,0.494,0.0573,-7.02,0.209,129.028,0.236
141,Looking at Your Pager - CLIPZ Remix,Looking At Your Pager (CLIPZ Remix),KH,2022-08-26,226631,30,0.536,0.173,0.983,0.535,0.557,-4.187,0.0536,174.042,0.218
142,Mania,Mania,Daphni,2022-08-15,216614,0,0.79,0.00516,0.969,0.833,0.0508,-5.995,0.0849,131.993,0.908
143,Fantasy (Floating Points Remix),Musca (Remixes),Herbert,2022-07-27,929894,0,0.802,0.00121,0.645,0.803,0.32,-11.236,0.0645,120.196,0.0404
